ID	Name	Category	Type	Components	Marinobacter_sp_ES_048	Marinobacter_adhaerens_HP15	Marinobacter_adhaerens_strain_PBVC038	Marinobacter_algicola_DG893	Marinobacter_antarcticus_CGMCC1_10835	Marinobacter_aromaticivorans_strain_D15_8P	Marinobacter_daepoensis_DSM_16072	Marinobacter_dagiaonensis_CGMCC_1_9167	Marinobacter_sp_EN3	Marinobacter_sp_ES_1	Marinobacter_sp_EVN1	Marinobacter_excellens_HL_55	Marinobacter_excellens_LAMA_842	Marinobacter_flavimaris	Marinobacter_guaonensis_CGCC_1_6294	Marinobacter_guineae_strain_M3B	Marinobacter_hydrocarbonoclasticus_ASM1536	Marinobacter_hydrocarbonoclasticus_ATCC_49840	Marinobacter_hydrocarbonoclasticus_STW2	Marinobacter_lipoliticus_BF04_CF_4	Marinobacter_lipolyticus_SM19	Marinobacter_lutaoensis_T5054	Marinobacter_sp_LV10R510_8	Marinobacter_manganoxydans_MnI7_9	Marinobacter_mobilis_GCMCC_1_7059	Marinobacter_nanhaiticus_D15_8W	Marinobacter_nitrareduscens_AK21	Marinobacter_pelagius_CGMCC_1_6775	Marinobacter_persicus_IBRC_M_10445	Marinobacter_psychrophilus_20041	Marinobacter_salarius_SMR5	Marinobacter_salexigens_strain_HJR7	Marinobacter_salinus_Hb8	Marinobacter_santoriniensis_NKSG1	Marinobacter_segnicrescens_CGMCC_1_6489	Marinobacter_sp_AC_23	Marinobacter_sp_ANT_B65	Marinobacter_sp_BSs20148	Marinobacter_sp_C18	Marinobacter_sp_C1S70	Marinobacter_sp_CP1	Marinobacter_sp_CPC8	Marinobacter_sp_DG879	Marinobacter_sp_DSM_26291	Marinobacter_sp_DSM_26671	Marinobacter_sp_EhC06	Marinobacter_sp_EhN04	Marinobacter_sp_ELB17	Marinobacter_sp_ES_042	Marinobacter_sp_FDB33	Marinobacter_sp_IN6	Marinobacter_sp_LQ44	Marinobacter_sp_LV10MA510_1	Marinobacter_sp_LV10R510_11A	Marinobacter_sp_LV10R520_4	Marinobacter_sp_LVR2A5A20	Marinobacter_sp_MCTG268	Marinobacter_sp_N4	Marinobacter_sp_P4B1	Marinobacter_sp_PWS21	Marinobacter_zhejiangensis_CGMCC_1_7061
M00375	Hydroxypropionate-hydroxybutylate_cycle	Carbon_fixation	Pathway	14	7.1	7.1	7.1	14.3	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	14.3	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	14.3	7.1	7.1	7.1	7.1	14.3	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1
M00374	Dicarboxylate-hydroxybutyrate_cycle	Carbon_fixation	Pathway	13	46.2	46.2	46.2	53.8	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	53.8	53.8	46.2	46.2	46.2	46.2	46.2	46.2	53.8	46.2	46.2	46.2	46.2	46.2	46.2	53.8	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2	46.2
M00377	Reductive_acetyl-CoA_pathway_(Wood-Ljungdahl_pathway)	Carbon_fixation	Pathway	7	42.9	28.6	28.6	42.9	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	42.9	28.6	28.6	28.6	28.6	28.6	28.6	42.9	28.6	28.6	42.9	28.6	42.9	28.6	28.6	28.6	28.6	42.9	28.6	28.6	28.6	28.6	28.6	28.6	28.6	42.9	28.6	42.9	42.9	42.9	42.9	42.9	42.9	42.9	28.6	28.6	42.9	42.9	28.6	28.6	28.6	28.6	28.6	42.9	42.9	28.6	28.6	28.6
M00579	Phosphate_acetyltransferase-acetate_kinase_pathway_acetyl-CoA_=>_acetate	Carbon_fixation	Pathway	2	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	100	0	100	0	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100
M00620	Incomplete_reductive_citrate_cycle_acetyl-CoA_=>_oxoglutarate	Carbon_fixation	Pathway	7	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	14.3	14.3	14.3	28.6	14.3	14.3	28.6	14.3	28.6	42.9	28.6	14.3	14.3	28.6	28.6	28.6	28.6	14.3	28.6	28.6	28.6	14.3	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	14.3	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	14.3	28.6	14.3	28.6	14.3	28.6	14.3	28.6	28.6	28.6
M00175	Nitrogen_fixation_nitrogen_=>_ammonia	Nitrogen_metabolism	Pathway	1	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00531	Assimilatory_nitrate_reduction_nitrate_=>_ammonia	Nitrogen_metabolism	Pathway	2	0	0	50	50	0	0	0	50	50	50	50	0	50	50	50	0	50	50	50	0	50	0	0	50	50	50	50	0	0	0	50	0	0	50	50	50	0	0	50	50	50	50	50	50	50	50	50	0	0	50	50	50	0	0	0	0	50	50	0	50	50
M00530	Dissimilatory_nitrate_reduction_nitrate_=>_ammonia	Nitrogen_metabolism	Pathway	2	50	50	100	50	50	50	50	100	100	50	100	50	100	100	100	100	100	100	100	50	50	50	50	100	100	100	100	50	0	50	50	50	50	100	50	100	100	50	50	100	100	50	100	50	100	100	100	50	0	100	100	100	50	50	50	50	50	100	50	100	100
M00529	Denitrification_nitrate_=>_nitrogen	Nitrogen_metabolism	Pathway	4	50	0	50	0	25	100	100	50	100	25	100	25	50	50	50	100	100	100	100	100	0	0	100	50	25	50	100	100	75	100	0	100	50	50	50	100	100	100	0	100	50	0	25	0	50	100	100	100	0	25	50	50	100	100	100	100	0	50	75	100	50
M00528	Nitrification_ammonia_=>_nitrite	Nitrogen_metabolism	Pathway	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00804	Complete_nitrification_comammox_ammonia_=>_nitrite_=>_nitrate	Nitrogen_metabolism	Pathway	3	33.3	0	33.3	0	33.3	33.3	33.3	33.3	33.3	0	33.3	0	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	0	0	33.3	33.3	33.3	33.3	33.3	33.3	0	33.3	0	33.3	33.3	33.3	0	33.3	33.3	33.3	0	33.3	33.3	0	33.3	0	33.3	33.3	33.3	33.3	0	33.3	33.3	33.3	33.3	33.3	33.3	33.3	0	33.3	0	33.3	33.3
M00567	Methanogenesis_CO2_=>_methane	Methane_metabolism	Pathway	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00357	Methanogenesis_acetate_=>_methane	Methane_metabolism	Pathway	5..6	33.3	33.3	33.3	20	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	20	33.3	33.3	33.3	33.3	33.3	33.3	33.3	20	33.3	33.3	20	33.3	20	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	20	33.3	33.3	33.3	33.3
M00356	Methanogenesis_methanol_=>_methane	Methane_metabolism	Pathway	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00563	Methanogenesis_methylamine/dimethylamine/trimethylamine_=>_methane	Methane_metabolism	Pathway	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00358	Coenzyme_M_biosynthesis	Methane_metabolism	Pathway	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00608	2-Oxocarboxylic_acid_chain_extension_2-oxoglutarate_=>_2-oxoadipate_=>_2-oxopimelate_=>_2-oxosuberate	Methane_metabolism	Pathway	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00174	Methane_oxidation_methanotroph_methane_=>_formaldehyde	Methane_metabolism	Pathway	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00346	Formaldehyde_assimilation_serine_pathway	Methane_metabolism	Pathway	9	44.4	44.4	44.4	55.6	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	44.4	55.6	55.6	44.4	44.4	44.4	44.4	44.4	44.4	55.6	44.4	55.6	55.6	44.4	55.6	44.4	55.6	44.4	44.4	55.6	55.6	44.4	44.4	55.6	44.4	55.6	44.4	44.4	44.4	66.7	44.4	44.4	55.6	44.4	44.4	44.4	44.4	44.4	55.6	44.4	44.4	44.4	44.4
M00345	Formaldehyde_assimilation_ribulose_monophosphate_pathway	Methane_metabolism	Pathway	3..4	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	33.3	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7
M00344	Formaldehyde_assimilation_xylulose_monophosphate_pathway	Methane_metabolism	Pathway	4	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	50	25	50	25	25	25	25	25
M00378	F420_biosynthesis	Methane_metabolism	Pathway	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00422	Acetyl-CoA_pathway_CO2_=>_acetyl-CoA	Methane_metabolism	Pathway	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00176	Assimilatory_sulfate_reduction_sulfate_=>_H2S	Sulfur_metabolism	Pathway	3	33.3	33.3	33.3	66.7	66.7	66.7	33.3	66.7	100	66.7	66.7	33.3	66.7	33.3	33.3	100	100	66.7	66.7	100	66.7	100	100	33.3	66.7	33.3	66.7	100	33.3	100	66.7	66.7	66.7	100	100	100	100	100	66.7	33.3	66.7	66.7	33.3	66.7	66.7	66.7	66.7	100	66.7	66.7	66.7	100	100	100	100	100	66.7	33.3	66.7	66.7	33.3
M00596	Dissimilatory_sulfate_reduction_sulfate_=>_H2S	Sulfur_metabolism	Pathway	3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	0	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	0	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3
M00595	Thiosulfate_oxidation_by_SOX_complex_thiosulfate_=>_sulfate	Sulfur_metabolism	Pathway	1	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
M00001	Glycolysis_(Embden-Meyerhof_pathway)_glucose_=>_pyruvate	Central_carbohydrate_metabolism	Pathway	9..10	100	100	100	100	100	100	100	90	100	100	100	100	100	100	100	100	100	100	100	90	90	100	90	100	90	100	100	100	90	90	100	90	100	100	90	90	100	90	100	100	100	100	100	100	100	100	100	90	100	100	100	100	90	90	90	90	100	100	100	100	90
M00002	Glycolysis_core_module_involving_three-carbon_compounds	Central_carbohydrate_metabolism	Pathway	5..6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00003	Gluconeogenesis_oxaloacetate_=>_fructose-6P	Central_carbohydrate_metabolism	Pathway	7..8	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5
M00307	Pyruvate_oxidation_pyruvate_=>_acetyl-CoA	Central_carbohydrate_metabolism	Pathway	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00009	Citrate_cycle_(TCA_cycle_Krebs_cycle)	Central_carbohydrate_metabolism	Pathway	8	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5
M00010	Citrate_cycle_first_carbon_oxidation_oxaloacetate_=>_2-oxoglutarate	Central_carbohydrate_metabolism	Pathway	3	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00011	Citrate_cycle_second_carbon_oxidation_2-oxoglutarate_=>_oxaloacetate	Central_carbohydrate_metabolism	Pathway	5	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
M00004	Pentose_phosphate_pathway_(Pentose_phosphate_cycle)	Central_carbohydrate_metabolism	Pathway	7..8	87.5	87.5	87.5	87.5	100	100	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	75	87.5	87.5	100	87.5	87.5	87.5	87.5	87.5	75	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	87.5	100	87.5	87.5	87.5	87.5	100	100	100	100	87.5	87.5	87.5	87.5	87.5
M00006	Pentose_phosphate_pathway_oxidative_phase_glucose_6P_=>_ribulose_5P	Central_carbohydrate_metabolism	Pathway	2..3	66.7	66.7	66.7	66.7	100	100	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	33.3	66.7	66.7	100	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	66.7	100	66.7	66.7	66.7	66.7	100	100	100	100	66.7	66.7	66.7	66.7	66.7
M00007	Pentose_phosphate_pathway_non-oxidative_phase_fructose_6P_=>_ribose_5P	Central_carbohydrate_metabolism	Pathway	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	75	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00580	Pentose_phosphate_pathway_archaea_fructose_6P_=>_ribose_5P	Central_carbohydrate_metabolism	Pathway	2..3	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
M00005	PRPP_biosynthesis_ribose_5P_=>_PRPP	Central_carbohydrate_metabolism	Pathway	1	100	0	0	0	0	0	0	100	100	100	100	0	0	100	0	100	0	0	0	0	100	100	100	100	100	100	0	0	0	0	0	0	100	0	100	0	0	0	100	0	100	0	100	0	100	0	0	0	0	100	100	100	0	0	0	0	0	0	0	100	100
M00008	Entner-Doudoroff_pathway_glucose-6P_=>_glyceraldehyde-3P_+_pyruvate	Central_carbohydrate_metabolism	Pathway	4	100	100	100	75	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
M00308	Semi-phosphorylative_Entner-Doudoroff_pathway_gluconate_=>_glycerate-3P	Central_carbohydrate_metabolism	Pathway	4..5	60	60	60	40	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	80	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
M00633	Semi-phosphorylative_Entner-Doudoroff_pathway_gluconate/galactonate_=>_glycerate-3P	Central_carbohydrate_metabolism	Pathway	4	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	25	25	25	25	0	0	0	0	25	0	25	0	0	0	0	0	0
M00309	Non-phosphorylative_Entner-Doudoroff_pathway_gluconate/galactonate_=>_glycerate	Central_carbohydrate_metabolism	Pathway	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00012	Glyoxylate_cycle	Other_carbohydrate_metabolism	Pathway	5	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	100	100	80	80	80	80	80	80	100	80	80	80	80	80	80	100	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80
M00373	Ethylmalonyl_pathway	Other_carbohydrate_metabolism	Pathway	12	16.7	16.7	16.7	25	25	33.3	25	16.7	8.3	8.3	8.3	25	16.7	16.7	16.7	33.3	16.7	16.7	8.3	33.3	8.3	16.7	8.3	25	16.7	16.7	16.7	16.7	16.7	25	25	25	16.7	16.7	25	25	33.3	25	25	8.3	33.3	25	25	25	25	16.7	16.7	33.3	16.7	8.3	25	8.3	25	16.7	25	16.7	25	25	16.7	25	16.7
