genes,COG_CATEGORY_ACC,COG_CATEGORY,COG_FUNCTION_ACC,COG_FUNCTION,Marinobacter_adhaerens_HP15,Marinobacter_adhaerens_strain_PBVC038,Marinobacter_algicola_DG893,Marinobacter_antarcticus_CGMCC1_10835,Marinobacter_aromaticivorans_strain_D15_8P,Marinobacter_daepoensis_DSM_16072,Marinobacter_dagiaonensis_CGMCC_1_9167,Marinobacter_excellens_LAMA_842,Marinobacter_flavimaris,Marinobacter_guaonensis_CGCC_1_6294,Marinobacter_guineae_strain_M3B,Marinobacter_hydrocarbonoclasticus_ASM1536,Marinobacter_hydrocarbonoclasticus_ATCC_49840,Marinobacter_hydrocarbonoclasticus_STW2,Marinobacter_lipoliticus_BF04_CF_4,Marinobacter_lipolyticus_SM19,Marinobacter_lutaoensis_T5054,Marinobacter_manganoxydans_MnI7_9,Marinobacter_mobilis_GCMCC_1_7059,Marinobacter_nanhaiticus_D15_8W,Marinobacter_nitrareduscens_AK21,Marinobacter_pelagius_CGMCC_1_6775,Marinobacter_persicus_IBRC_M_10445,Marinobacter_psychrophilus_20041,Marinobacter_salarius_SMR5,Marinobacter_salexigens_strain_HJR7,Marinobacter_salinus_Hb8,Marinobacter_santoriniensis_NKSG1,Marinobacter_sp_ANT_B65,Marinobacter_sp_BSs20148,Marinobacter_sp_C18,Marinobacter_sp_C1S70,Marinobacter_sp_CP1,Marinobacter_sp_CPC8,Marinobacter_sp_DSM_26291,Marinobacter_sp_DSM_26671,Marinobacter_sp_EN3,Marinobacter_sp_ES_042,Marinobacter_sp_ES_048,Marinobacter_sp_ES_1,Marinobacter_sp_EVN1,Marinobacter_sp_EhC06,Marinobacter_sp_EhN04,Marinobacter_sp_FDB33,Marinobacter_sp_HK15,Marinobacter_sp_HL_58,Marinobacter_sp_LQ44,Marinobacter_sp_LV10R510_11A,Marinobacter_sp_LV10R510_8,Marinobacter_sp_N4,Marinobacter_sp_P4B1,Marinobacter_sp_PWS21,Marinobacter_sp_X15_166B,Marinobacter_sp_tcs_11,Marinobacter_subterrani_JG233,Marinobacter_vinifirmus_FB1,Marinobacter_zhejiangensis_CGMCC_1_7061
PC_00000042,X,X,COG2963,Transposase_and_inactivated_derivatives,1,2,5,0,0,0,1,1,2,0,0,5,0,2,0,0,1,1,1,4,0,0,0,1,2,3,0,3,3,1,1,1,4,0,2,4,2,0,7,0,2,4,4,1,1,0,0,0,0,0,0,1,1,3,4,0,0
PC_00000043,I,I,COG1960,Acyl-CoA_dehydrogenase_related_to_the_alkylation_response_protein_AidB,1,1,1,1,2,0,1,1,2,1,1,1,0,1,2,1,1,2,2,1,1,2,0,2,1,1,1,2,1,2,1,0,2,1,1,1,2,1,2,0,2,2,2,2,1,1,2,2,2,2,1,2,1,1,3,1,1
PC_00000044,M,M,COG0677,UDP-N-acetyl-D-mannosaminuronate_dehydrogenase,1,0,1,1,1,2,0,1,0,1,2,1,1,2,1,1,0,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,5,3,1,2,1,1,1,1,1,1
PC_00000047,W|N,W|N,COG5008,Tfp_pilus_assembly_protein__ATPase_PilU,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,2,2,1,1,1,3,3,1,1,1,4,2
PC_00000050,G,G,COG0148,Enolase,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1
PC_00000052,C,C,COG0554,Glycerol_kinase,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,0,1,2,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1
PC_00000054,M|G,M|G,COG0662|COG0836,Mannose-6-phosphate_isomerase__cupin_superfamily|Mannose-1-phosphate_guanylyltransferase,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,2,0,1,2,2,1,3,1,2,2,1,2,1,1,2,2,1,1,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,0
PC_00000056,X,X,COG3039,Transposase_and_inactivated_derivatives__IS5_family,0,0,1,2,5,4,0,0,0,0,3,6,0,2,2,0,1,2,0,0,0,0,1,0,1,2,0,0,1,0,1,2,2,2,0,7,2,0,0,4,2,2,2,3,1,7,1,0,0,1,0,2,0,2,0,0,0
PC_00000058,P,P,COG2895,Sulfate_adenylyltransferase_subunit_1__EFTu-like_GTPase_family,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1
PC_00000059,P,P,COG1230,Co/Zn/Cd_efflux_system_component,2,1,1,0,0,0,1,3,2,0,0,7,1,2,0,0,1,3,0,2,0,1,4,0,1,0,0,0,0,0,1,0,4,1,1,2,1,0,0,2,3,1,1,2,1,1,2,0,0,0,4,2,0,3,1,7,0
PC_00000062,C,C,COG0479,Succinate_dehydrogenase/fumarate_reductase__Fe-S_protein_subunit,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,1
PC_00000063,R,R,COG0457,Tetratricopeptide_(TPR)_repeat,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,2,1,5,1,1,1,0,1,1,1,1,1,1,2,1,1,1,0,0,1,1,1,0,1
PC_00000068,G,G,COG1109,Phosphomannomutase,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,1,1,1,2,0,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,6,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1
PC_00000069,E,E,COG4177,ABC-type_branched-chain_amino_acid_transport_system__permease_component,1,1,2,2,1,1,1,1,1,1,2,0,1,0,1,1,1,1,1,2,1,1,0,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,0,1,1,1,2,2,1,2,2,2,1,0,2,1,0,2,1,0
PC_00000075,M,M,COG3203,Outer_membrane_protein_(porin),1,1,2,1,1,1,0,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,0,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1
PC_00000077,K|X,K|X,COG2771|COG4584,DNA-binding_transcriptional_regulator__CsgD_family|Transposase,0,0,0,0,0,0,0,3,0,0,0,9,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,1,3,6,0,0,5,3,0,0,1,0,0,0,0,0,0,2,3,3,0,0,0,0,0,3,0,0
PC_00000078,C,C,COG1556,L-lactate_utilization_protein_LutC__contains_LUD_domain,2,2,1,1,1,1,1,1,2,1,2,1,1,1,0,1,1,2,2,1,2,2,1,0,1,1,1,2,1,0,1,1,2,1,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2
PC_00000082,P,P,COG0306|COG0306,Phosphate/sulfate_permease|Phosphate/sulfate_permease,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000085,H,H,COG2227,2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1_4-benzoquinol_methylase,2,2,0,2,1,1,0,1,3,1,1,2,2,1,1,0,0,3,0,0,2,1,1,1,0,1,3,1,1,1,0,2,3,0,0,3,2,2,2,1,2,2,2,0,0,0,1,1,1,1,1,0,0,2,2,1,0
PC_00000086,C,C,COG2086,Electron_transfer_flavoprotein__alpha_and_beta_subunits,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
PC_00000087,C,C,COG0281,Malic_enzyme,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
PC_00000088,M,M,COG1861,Spore_coat_polysaccharide_biosynthesis_protein_SpsF__cytidylyltransferase_family,0,0,0,2,0,0,1,4,0,0,0,8,0,5,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,7,10,1,0,10,3,0,0,1,3,0,0,4,0,0,4,0,2,0,0,0,0,0,0,0,0
PC_00000089,R,R,COG4454,Uncharacterized_copper-binding_protein__cupredoxin-like_subfamily,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,0,0,1,1,0,2,2,1,1,1,1,1,1,1,2,2,3,1,1,2,1,1,1,1,2,0,0,2,1,1
PC_00000090,P,P,COG0659,Sulfate_permease_or_related_transporter__MFS_superfamily,1,1,0,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
PC_00000093,E,E,COG0133,Tryptophan_synthase_beta_chain,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
PC_00000095,G,G,COG2814,Predicted_arabinose_efflux_permease__MFS_family,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,0,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0
PC_00000098,E,E,COG0065,Homoaconitase/3-isopropylmalate_dehydratase_large_subunit,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000099,J,J,COG1643,HrpA-like_RNA_helicase,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
PC_00000100,O,O,COG0278,Glutaredoxin-related_protein,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
PC_00000101,O,O,COG0316,Fe-S_cluster_assembly_iron-binding_protein_IscA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
PC_00000104,C,C,COG1866,Phosphoenolpyruvate_carboxykinase__ATP-dependent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
PC_00000105,,,,,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,0,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
PC_00000107,O,O,COG0719,Fe-S_cluster_assembly_scaffold_protein_SufB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
PC_00000110,C,C,COG1012,Acyl-CoA_reductase_or_other_NAD-dependent_aldehyde_dehydrogenase,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
PC_00000111,C,C,COG1294,Cytochrome_bd-type_quinol_oxidase__subunit_2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2
PC_00000112,C,C,COG1249,Pyruvate/2-oxoglutarate_dehydrogenase_complex__dihydrolipoamide_dehydrogenase_(E3)_component_or_related_enzyme,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1
PC_00000114,O,O,COG0316,Fe-S_cluster_assembly_iron-binding_protein_IscA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
PC_00000115,L,L,COG0556,Excinuclease_UvrABC_helicase_subunit_UvrB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000117,O,O,COG0459,Chaperonin_GroEL_(HSP60_family),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1
PC_00000121,K,K,COG0789,DNA-binding_transcriptional_regulator__MerR_family,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000123,J,J,COG1185,Polyribonucleotide_nucleotidyltransferase_(polynucleotide_phosphorylase),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000124,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000126,I,I,COG0183,Acetyl-CoA_acetyltransferase,1,1,2,1,2,0,3,0,1,1,1,0,0,0,1,2,0,1,0,2,1,1,0,1,2,0,2,1,1,1,2,0,1,2,2,1,0,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1
PC_00000128,J,J,COG0024,Methionine_aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
PC_00000129,I,I,COG4799,Acetyl-CoA_carboxylase__carboxyltransferase_component,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
PC_00000131,G,G,COG0235,Ribulose-5-phosphate_4-epimerase/Fuculose-1-phosphate_aldolase,1,1,2,1,0,1,1,0,2,1,1,0,0,0,0,2,0,2,1,2,2,1,0,1,2,0,1,1,1,1,2,0,2,2,2,2,0,1,2,0,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,2
PC_00000133,C,C,COG0644|COG2440,Dehydrogenase_(flavoprotein)|Ferredoxin-like_protein_FixX,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000139,E,E,COG0531,Amino_acid_transporter,1,0,1,1,1,0,1,2,2,0,1,1,1,1,2,0,1,3,0,1,1,1,1,0,1,1,1,1,0,1,3,0,3,1,1,1,1,0,0,1,1,1,1,4,1,0,2,1,1,1,1,2,0,1,1,1,0
PC_00000140,R,R,COG2081,Predicted_flavoprotein_YhiN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
PC_00000141,T|N,T|N,COG0643|COG0784|COG2198|COG2198|COG2198|COG2198|COG2198|COG2198,Chemotaxis_protein_histidine_kinase_CheA|CheY_chemotaxis_protein_or_a_CheY-like_REC_(receiver)_domain|HPt_(histidine-containing_phosphotransfer)_domain|HPt_(histidine-containing_phosphotransfer)_domain|HPt_(histidine-containing_phosphotransfer)_domain|HPt_(histidine-containing_phosphotransfer)_domain|HPt_(histidine-containing_phosphotransfer)_domain|HPt_(histidine-containing_phosphotransfer)_domain,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
PC_00000143,C|H,C|H,COG0543,NAD(P)H-flavin_reductase,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000144,F,F,COG0788,Formyltetrahydrofolate_hydrolase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000146,Q,Q,COG4665,TRAP-type_mannitol/chloroaromatic_compound_transport_system__small_permease_component,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000148,O,O,COG0443,Molecular_chaperone_DnaK_(HSP70),1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000150,E,E,COG0436,Aspartate/methionine/tyrosine_aminotransferase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000156,P,P,COG0798,Arsenite_efflux_pump_ArsB__ACR3_family,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
PC_00000157,E,E,COG1115,Na_/alanine_symporter,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
PC_00000160,V,V,COG0534,Na_-driven_multidrug_efflux_pump,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000161,R|G|E,R|G|E,COG0697,Permease_of_the_drug/metabolite_transporter_(DMT)_superfamily,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000162,J,J,COG0532,Translation_initiation_factor_IF-2__a_GTPase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000164,S,S,COG3164,Uncharacterized_conserved_protein_YhdP__contains_DUF3971_and_AsmA2_domains,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000165,T,T,COG0784|COG2198|COG2205,CheY_chemotaxis_protein_or_a_CheY-like_REC_(receiver)_domain|HPt_(histidine-containing_phosphotransfer)_domain|K_-sensing_histidine_kinase_KdpD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000171,T|G|M,T|G|M,COG0517|COG0794,CBS_domain|D-arabinose_5-phosphate_isomerase_GutQ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC_00000175,L,L,COG0188,DNA_gyrase/topoisomerase_IV__subunit_A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
